7821	8739	0.826258
3643	6953	0.841182
6349	5215	0.539977
5114	9307	0.376518
9391	3929	0.523852
3535	7830	0.521944
5901	2387	0.602432
2476	1673	0.955949
4385	2296	0.517986
7865	9332	0.431604
4932	4975	0.983497
1171	9463	0.891021
3572	715	0.867206
5696	4149	0.875653
5989	1166	0.811778
2436	9022	0.445228
3695	8260	0.447739
183	942	0.014952
8035	1942	0.840142
7616	9052	0.462653
5875	218	0.664808
160	1034	0.688100
9176	6069	0.852584
3999	3489	0.604241
9952	3995	0.107077
153	1061	0.719708
6573	3847	0.666948
1179	7056	0.381747
5184	6476	0.248556
7269	1364	0.710119
7351	1040	0.873980
8559	6770	0.263500
1418	452	0.053918
1132	6165	0.740465
62	8989	0.609537
3965	4828	0.584442
1254	1440	0.438794
590	870	0.502600
5315	6813	0.922571
9269	3316	0.369972
9074	2279	0.167480
3786	9187	0.883496
7420	1610	0.715100
4018	1735	0.560954
3743	5938	0.640985
937	5711	0.599256
4643	3761	0.498765
5810	4971	0.735955
15	7975	0.528452
3478	4760	0.651773
9699	6207	0.226048
1835	1580	0.720168
9414	4196	0.131266
1492	7368	0.812277
296	3160	0.435133
9340	6997	0.967293
2971	9363	0.599449
1100	7661	0.281157
4105	7793	0.686187
163	6285	0.809352
8522	4226	0.236839
2070	8434	0.709561
8268	7491	0.674416
5771	5235	0.960994
5707	7708	0.465897
794	8200	0.719100
5480	5742	0.724336
9524	3123	0.539978
6789	1289	0.018417
8915	6008	0.752048
8270	8459	0.148400
2080	391	0.548804
7702	3663	0.485192
263	698	0.858008
2638	4412	0.144570
8946	2843	0.044042
6583	4868	0.804598
7764	8955	0.855671
1602	8193	0.394074
5230	1644	0.567564
9448	4766	0.126914
4408	7937	0.151078
9822	5677	0.739381
4664	6435	0.404829
4843	9837	0.762622
3816	2901	0.033019
4479	9961	0.378957
6595	7674	0.191541
4193	1204	0.633509
822	581	0.003410
7980	9634	0.564469
7391	6467	0.953072
7096	8755	0.453498
6529	734	0.923560
5476	7114	0.423840
501	2856	0.808130
5850	4309	0.701956
4348	1993	0.224378
3048	2162	0.541477
5947	8559	0.636133
182	8406	0.666820
8483	129	0.657904
2186	496	0.718270
7899	2300	0.891767
1169	23	0.052732
5827	4116	0.230434
8929	4797	0.517085
7025	6665	0.019227
2543	223	0.725203
6404	8748	0.159396
1505	9349	0.693700
8556	8931	0.914602
5703	8632	0.392151
1477	2114	0.994521
4737	1806	0.641807
